ID,Session,MLTD,TotalTokens,MeanClauseLength,AvgDepLength,DepTypeEntropy,NominalDensity,NPComplexity,VPComplexity,MeanNPLength,PPDensity,Condition.x,Variety,Topic
GPT4.1_117,1st,210.7692861,625,7.62195122,3.074198988,3.085509229,0.8,0.217948718,10.56626506,1.583333333,1.875,GPT,US,stereotype
GPT4.1_117,3rd,207.6254209,620,8.157894737,3.056027165,3.077813965,1.129032258,0.180555556,11.31764706,1.583333333,2.032258065,GPT,US,dream
GPT4.1_118,2nd,289.3199533,622,6.988764045,3.138225256,3.112846631,1.125401929,0.310810811,11.70588235,1.655405405,1.472222222,GPT,US,technology
GPT4.1_118,3rd,204.1488857,570,6.951219512,3.118299445,3.142910702,1.578947368,0.20979021,10.17241379,1.587412587,1.827586207,GPT,US,dream
GPT4.1_118,1st,190.350661,630,6.494845361,2.867003367,3.050581748,1.428571429,0.178343949,9.838709677,1.452229299,1.444444444,GPT,US,stereotype
GPT4.1_119,1st,267.0507119,593,7.602564103,3.161061947,3.092320515,1.011804384,0.194805195,12.37179487,1.577922078,1.785714286,GPT,US,stereotype
GPT4.1_119,2nd,248.7752646,626,7.542168675,3.510961214,2.983754713,1.437699681,0.253246753,11.14606742,1.571428571,2.03030303,GPT,US,technology
GPT4.1_119,3rd,197.444005,607,7.402439024,3.409638554,3.093236258,0.823723229,0.154362416,10.87368421,1.563758389,2.153846154,GPT,US,dream
GPT4.1_12,1st,274.2548806,587,7.430379747,3.65658363,3.136921674,0.851788756,0.291666667,13.35365854,1.590277778,2.2,GPT,AUS,dream
GPT4.1_12,3rd,241.5522589,654,7.975609756,3.535885167,3.133162274,0.764525994,0.306666667,11.31914894,1.666666667,2.518518519,GPT,AUS,technology
GPT4.1_12,2nd,241.4311343,611,7.273809524,3.07008547,3.102271372,0.490998363,0.163636364,12.44210526,1.442424242,2.5,GPT,AUS,stereotype
GPT4.1_120,1st,240.3667883,594,7.156626506,3.336267606,3.098543493,1.178451178,0.228187919,12.05882353,1.570469799,2.230769231,GPT,US,stereotype
GPT4.1_120,3rd,224.2448805,625,7.352941176,3.013513514,3.117915056,1.76,0.188311688,10.91666667,1.564935065,1.848484848,GPT,US,dream
GPT4.1_120,2nd,191.5562492,609,7.6125,3.114186851,3.030296784,0.328407225,0.214285714,12.17857143,1.471428571,1.870967742,GPT,US,technology
GPT4.1_121,3rd,257.5,573,6.987804878,3.867030965,3.174810436,0.523560209,0.26056338,10.94680851,1.676056338,2.25,GPT,AUS,stereotype
GPT4.1_121,1st,194.2052293,632,7.181818182,3.075250836,3.13028555,0.949367089,0.276315789,12.525,1.657894737,1.647058824,GPT,AUS,technology
GPT4.1_121,2nd,169.7109749,651,7.93902439,3.241987179,3.122388253,1.228878648,0.214723926,10.45360825,1.582822086,2.333333333,GPT,AUS,dream
GPT4.1_122,2nd,229.3154246,620,7.75,3.079931973,3.078968932,1.129032258,0.188811189,10.8255814,1.545454545,2.09375,GPT,AUS,dream
GPT4.1_122,1st,207.9493223,601,8.464788732,3.236521739,3.142664168,0.665557404,0.345588235,11.90666667,1.727941176,2.230769231,GPT,AUS,technology
GPT4.1_122,3rd,186.9605662,626,7.195402299,2.916107383,3.08133925,1.437699681,0.19375,12.43157895,1.525,2.3,GPT,AUS,stereotype
GPT4.1_123,2nd,234.030109,606,7.575,3.324697755,3.107211391,1.155115512,0.285714286,11.96341463,1.646258503,1.814814815,GPT,AUS,dream
GPT4.1_123,1st,210.5192862,654,7.431818182,3.145833333,3.039341699,1.070336391,0.287581699,12.12643678,1.647058824,2.266666667,GPT,AUS,technology
GPT4.1_123,3rd,177.9790576,598,8.191780822,3.003502627,3.084290198,1.003344482,0.155844156,13.2987013,1.493506494,2.777777778,GPT,AUS,stereotype
GPT4.1_124,2nd,225.7534843,642,8.025,3.387254902,3.128092447,0.46728972,0.344827586,12.3908046,1.696551724,2.2,GPT,AUS,dream
GPT4.1_124,1st,225.04079,635,7.839506173,3.255354201,3.111812115,0.787401575,0.243055556,12.09278351,1.590277778,2.392857143,GPT,AUS,technology
GPT4.1_124,3rd,175.1345415,631,7.08988764,3.618573798,3.135599633,0.950871632,0.223602484,11.19101124,1.52173913,2,GPT,AUS,stereotype
GPT4.1_125,2nd,231.383261,635,7.055555556,3.141196013,3.152908189,0.787401575,0.159509202,10.28723404,1.441717791,1.636363636,GPT,AUS,dream
GPT4.1_125,1st,222.2787243,599,7.986666667,3.462478185,3.07682164,0.834724541,0.251798561,10.38157895,1.604316547,2.153846154,GPT,AUS,technology
GPT4.1_125,3rd,166.8508486,652,7.164835165,3.009615385,3.041096335,0.613496933,0.162790698,11.82291667,1.441860465,2.571428571,GPT,AUS,stereotype
GPT4.1_126,1st,242.7932495,644,7.402298851,3.283387622,3.086179413,0.931677019,0.234177215,11.45360825,1.563291139,2.2,GPT,AUS,technology
GPT4.1_126,2nd,211.652481,656,7.717647059,3.386942675,3.098852773,1.219512195,0.197530864,12.71590909,1.574074074,2.25,GPT,AUS,dream
GPT4.1_126,3rd,174.8507179,641,7.913580247,3.168576105,3.073732257,0.936037441,0.169811321,11.77647059,1.566037736,2.066666667,GPT,AUS,stereotype
GPT4.1_127,2nd,241.0989792,652,6.936170213,3.017656501,3.162785855,0.460122699,0.333333333,11.35294118,1.802721088,2.517241379,GPT,AUS,dream
GPT4.1_127,1st,239.6554054,656,8.2,3.250401284,3.128245473,0.152439024,0.267605634,12.22093023,1.633802817,2.272727273,GPT,AUS,technology
GPT4.1_127,3rd,196.3302819,602,7.432098765,3.066317627,3.161265567,0.830564784,0.153333333,11.74444444,1.46,2.24137931,GPT,AUS,stereotype
GPT4.1_128,2nd,296.5,651,7.569767442,3.172580645,3.133076207,1.228878648,0.293413174,10.67368421,1.634730539,1.935483871,GPT,AUS,dream
GPT4.1_128,1st,269.3818911,604,7.55,3.026041667,3.045784025,1.158940397,0.262068966,10.2125,1.655172414,2.428571429,GPT,AUS,technology
GPT4.1_128,3rd,196.0458566,607,7.683544304,3.017331023,3.097260347,1.153212521,0.207792208,12.72839506,1.487012987,1.866666667,GPT,AUS,stereotype
GPT4.1_129,1st,211.3426501,659,7.752941176,3.100478469,3.089238892,1.062215478,0.274390244,10.94252874,1.591463415,2.375,GPT,AUS,technology
GPT4.1_129,2nd,189.186618,594,6.674157303,3.20035461,3.118911812,0.841750842,0.155405405,11.02247191,1.459459459,1.833333333,GPT,AUS,dream
GPT4.1_129,3rd,151.820622,604,7.277108434,3.109565217,3.100096391,0.662251656,0.13253012,12.30769231,1.481927711,2.206896552,GPT,AUS,stereotype
GPT4.1_13,3rd,271.244255,626,7.634146341,3.049069374,3.086042243,0.958466454,0.202614379,11,1.562091503,1.6,GPT,CAN,technology
GPT4.1_13,1st,211.774398,600,7.5,3.308900524,3.057926354,1.333333333,0.255813953,10.58974359,1.620155039,2.222222222,GPT,CAN,dream
GPT4.1_13,2nd,197.8512609,572,7.72972973,3.071823204,3.09701173,0.699300699,0.166666667,11.68831169,1.451388889,1.965517241,GPT,CAN,stereotype
GPT4.1_130,2nd,213.4765413,654,7.694117647,3.218500797,3.115793789,1.22324159,0.272727273,11.46236559,1.642857143,2.555555556,GPT,AUS,dream
GPT4.1_130,3rd,212.8802008,654,7.348314607,3.154704944,3.115948577,0.305810398,0.130177515,11.32258065,1.461538462,2.407407407,GPT,AUS,stereotype
GPT4.1_130,1st,211.7913861,651,6.852631579,3.478330658,3.148420747,0.460829493,0.20625,13.03157895,1.45625,2.321428571,GPT,AUS,technology
GPT4.1_131,2nd,210.1899596,652,8.467532468,3.592356688,3.189798986,0.613496933,0.256410256,13.4494382,1.615384615,2.833333333,GPT,AUS,dream
GPT4.1_131,1st,201.1254879,641,8.662162162,3.244663383,3.064508174,0.624024961,0.262068966,11.52,1.593103448,2.0625,GPT,AUS,technology
GPT4.1_131,3rd,195.9647924,662,7.522727273,3.127559055,3.167896556,0.906344411,0.221556886,12.46666667,1.568862275,2.148148148,GPT,AUS,stereotype
GPT4.1_132,2nd,278.5,609,7.25,3.131034483,3.140221012,0.821018062,0.314685315,11.56790123,1.692307692,1.965517241,GPT,AUS,dream
GPT4.1_132,3rd,206.2347467,622,7.317647059,3.095637584,3.142093727,0.803858521,0.174698795,12.49484536,1.518072289,2.538461538,GPT,AUS,stereotype
GPT4.1_132,1st,199.3307862,621,7.481927711,3.025337838,3.117304918,0.805152979,0.220125786,10.50588235,1.51572327,2.034482759,GPT,AUS,technology
GPT4.1_133,1st,242.1889603,633,7.112359551,3.394693201,3.113962692,0.631911532,0.275862069,11.82954545,1.524137931,2.1,GPT,CAN,technology
GPT4.1_133,2nd,232.6175279,650,7.647058824,3.236714976,3.114330564,1.538461538,0.242038217,10.64583333,1.547770701,2.103448276,GPT,CAN,dream
GPT4.1_133,3rd,220.3983044,662,7.042553191,3.307570978,3.106037341,1.812688822,0.24260355,11.60824742,1.579881657,2.321428571,GPT,CAN,stereotype
GPT4.1_134,1st,248.3648513,618,8.131578947,3.076400679,3.067134199,0.647249191,0.255033557,11.62352941,1.624161074,2.24137931,GPT,CAN,technology
GPT4.1_134,2nd,245.7412791,592,7.4,3.354497354,3.077304784,1.858108108,0.289855072,11.58426966,1.68115942,2.28,GPT,CAN,dream
GPT4.1_134,3rd,193.9890201,606,7.973684211,3.262068966,3.055104622,1.815181518,0.275641026,11.44444444,1.653846154,2.384615385,GPT,CAN,stereotype
GPT4.1_135,1st,262.0593923,650,7.558139535,3.318699187,3.087519993,0.769230769,0.162162162,10.95238095,1.5,1.914285714,GPT,CAN,technology
GPT4.1_135,2nd,252.8076923,611,7.104651163,3.317869416,3.152929036,1.47299509,0.230769231,10.27173913,1.524475524,2,GPT,CAN,dream
