,Condition,Variety,Type,Frequency
3070,Phr,US,Mid,10
3071,Phr,US,Low,7
3072,Nat,US,High,15
3073,Nat,US,Mid,10
3074,Nat,US,Low,3
3075,Nat,US,High,18
3076,Nat,US,Mid,9
3077,Nat,US,Low,4
3078,Nat,NZ,High,26
3079,Nat,NZ,Mid,12
3080,Nat,NZ,Low,5
3081,Phr,AUS,High,13
3082,Phr,AUS,Mid,8
3083,Phr,AUS,Low,2
3084,Nat,AUS,High,6
3085,Nat,AUS,Mid,2
3086,Nat,AUS,Low,1
3087,Par,AUS,High,15
3088,Par,AUS,Mid,14
3089,Par,AUS,Low,2
3090,Nat,AUS,High,13
3091,Nat,AUS,Mid,4
3092,Nat,AUS,Low,6
3093,Phr,UK,High,21
3094,Phr,UK,Mid,2
3095,Phr,UK,Low,2
3096,Nat,UK,High,16
3097,Nat,UK,Mid,12
3098,Nat,UK,Low,6
3099,Nat,CAN,High,40
3100,Nat,CAN,Mid,29
3101,Nat,CAN,Low,7
3102,Par,US,High,9
3103,Par,US,Mid,11
3104,Par,US,Low,5
3105,Nat,US,High,13
3106,Nat,US,Mid,3
3107,Nat,US,Low,1
3108,Nat,CAN,High,28
3109,Nat,CAN,Mid,13
3110,Nat,CAN,Low,3
3111,Nat,UK,High,21
3112,Nat,UK,Mid,14
3113,Nat,UK,Low,7
3114,Sty,NZ,High,17
3115,Sty,NZ,Mid,10
3116,Sty,NZ,Low,2
3117,Nat,NZ,High,11
3118,Nat,NZ,Mid,4
3119,Nat,NZ,Low,2
3120,Nat,AUS,High,26
3121,Nat,AUS,Mid,13
3122,Nat,AUS,Low,1
3123,Sty,US,High,21
3124,Sty,US,Mid,6
3125,Sty,US,Low,1
3126,Nat,US,High,9
3127,Nat,US,Mid,4
3128,Nat,US,Low,7
3129,Nat,CAN,High,18
3130,Nat,CAN,Mid,10
3131,Nat,CAN,Low,3
3132,Nat,UK,High,21
3133,Nat,UK,Mid,11
3134,Nat,UK,Low,5
3138,Par,CAN,High,18
3139,Par,CAN,Mid,16
3140,Par,CAN,Low,0
3141,Nat,CAN,High,14
3142,Nat,CAN,Mid,4
3143,Nat,CAN,Low,2
3147,Par,CAN,High,26
3148,Par,CAN,Mid,11
3149,Par,CAN,Low,5
3150,Nat,CAN,High,20
3151,Nat,CAN,Mid,23
3152,Nat,CAN,Low,1
3153,Par,US,High,13
3154,Par,US,Mid,13
3155,Par,US,Low,2
3156,Nat,US,High,9
3157,Nat,US,Mid,7
3158,Nat,US,Low,3
3159,Sty,NZ,High,20
3160,Sty,NZ,Mid,7
3161,Sty,NZ,Low,4
3162,Nat,NZ,High,12
3163,Nat,NZ,Mid,2
3164,Nat,NZ,Low,2
3165,Sty,NZ,High,17
3166,Sty,NZ,Mid,4
3167,Sty,NZ,Low,2
3168,Nat,NZ,High,11
3169,Nat,NZ,Mid,5
3170,Nat,NZ,Low,4
3171,Sty,UK,High,11
3172,Sty,UK,Mid,4
3173,Sty,UK,Low,5
3174,Nat,UK,High,13
3175,Nat,UK,Mid,7
3176,Nat,UK,Low,1
3177,Sty,CAN,High,8
3178,Sty,CAN,Mid,6
3179,Sty,CAN,Low,5
3180,Nat,CAN,High,12
3181,Nat,CAN,Mid,0
3182,Nat,CAN,Low,2
3183,Nat,US,High,23
3184,Nat,US,Mid,11
3185,Nat,US,Low,3
3189,Par,AUS,High,6
3190,Par,AUS,Mid,6
3191,Par,AUS,Low,4
3192,Nat,AUS,High,16
3193,Nat,AUS,Mid,9
3194,Nat,AUS,Low,2
3195,Sty,CAN,High,12
3196,Sty,CAN,Mid,2
3197,Sty,CAN,Low,2
3198,Nat,CAN,High,8
3199,Nat,CAN,Mid,4
3200,Nat,CAN,Low,5
3201,Par,US,High,10
3202,Par,US,Mid,13
3203,Par,US,Low,5
3204,Nat,US,High,6
3205,Nat,US,Mid,6
3206,Nat,US,Low,3
3207,Nat,NZ,High,34
3208,Nat,NZ,Mid,17
3209,Nat,NZ,Low,8
3210,Phr,US,High,14
3211,Phr,US,Mid,8
3212,Phr,US,Low,5
3213,Nat,US,High,19
3214,Nat,US,Mid,5
3215,Nat,US,Low,2
3216,Phr,NZ,High,12
3217,Phr,NZ,Mid,18
3218,Phr,NZ,Low,2
3219,Nat,NZ,High,2
3220,Nat,NZ,Mid,5
3221,Nat,NZ,Low,3
3222,Par,AUS,High,29
3223,Par,AUS,Mid,3
3224,Par,AUS,Low,7
3225,Nat,AUS,High,21
3226,Nat,AUS,Mid,6
3227,Nat,AUS,Low,3
3228,Nat,US,High,32
3229,Nat,US,Mid,4
3230,Nat,US,Low,4
3234,Par,US,High,16
3235,Par,US,Mid,7
3236,Par,US,Low,3
3237,Nat,US,High,8
3238,Nat,US,Mid,6
3239,Nat,US,Low,1
3240,Phr,US,High,3
3241,Phr,US,Mid,3
3242,Phr,US,Low,2
3243,Nat,US,High,9
3244,Nat,US,Mid,1
3245,Nat,US,Low,1
3249,Par,US,High,10
3250,Par,US,Mid,13
3251,Par,US,Low,2
3252,Nat,US,High,10
3253,Nat,US,Mid,4
3254,Nat,US,Low,4
3258,Par,UK,High,19
3259,Par,UK,Mid,2
3260,Par,UK,Low,6
3261,Nat,UK,High,8
3262,Nat,UK,Mid,6
3263,Nat,UK,Low,3
3264,Phr,US,High,22
3265,Phr,US,Mid,12
3266,Phr,US,Low,1
3267,Nat,US,High,15
3268,Nat,US,Mid,5
3269,Nat,US,Low,4
3270,Phr,US,High,16
3271,Phr,US,Mid,9
3272,Phr,US,Low,9
3273,Nat,US,High,10
3274,Nat,US,Mid,5
3275,Nat,US,Low,3
3276,Sty,US,High,7
3277,Sty,US,Mid,5
3278,Sty,US,Low,1
3279,Nat,US,High,10
3280,Nat,US,Mid,3
3281,Nat,US,Low,1
3282,Phr,UK,High,10
3283,Phr,UK,Mid,6
3284,Phr,UK,Low,3
3285,Nat,UK,High,23
3286,Nat,UK,Mid,7
3287,Nat,UK,Low,3
3288,Par,UK,High,16
3289,Par,UK,Mid,7
3290,Par,UK,Low,5
3291,Nat,UK,High,14
3292,Nat,UK,Mid,5
3293,Nat,UK,Low,12
3297,Par,US,High,16
3298,Par,US,Mid,12
3299,Par,US,Low,6
3300,Nat,US,High,12
3301,Nat,US,Mid,13
3302,Nat,US,Low,9
3303,Nat,NZ,High,46
3304,Nat,NZ,Mid,26
3305,Nat,NZ,Low,22
3309,Par,UK,High,11
3310,Par,UK,Mid,3
3311,Par,UK,Low,3
3312,Nat,UK,High,17
3313,Nat,UK,Mid,15
3314,Nat,UK,Low,7
3315,Phr,US,High,15
3316,Phr,US,Mid,10
3317,Phr,US,Low,0
3318,Nat,US,High,14
3319,Nat,US,Mid,3
3320,Nat,US,Low,9
3321,Phr,US,High,19
3322,Phr,US,Mid,11
3323,Phr,US,Low,3
3324,Nat,US,High,18
3325,Nat,US,Mid,3
3326,Nat,US,Low,3
3327,Sty,UK,High,14
3328,Sty,UK,Mid,6
3329,Sty,UK,Low,2
3330,Nat,UK,High,11
3331,Nat,UK,Mid,3
3332,Nat,UK,Low,7
3333,Sty,US,High,10
3334,Sty,US,Mid,6
3335,Sty,US,Low,1
3336,Nat,US,High,5
3337,Nat,US,Mid,3
3338,Nat,US,Low,2
3339,Nat,NZ,High,23
3340,Nat,NZ,Mid,17
3341,Nat,NZ,Low,11
3342,Phr,US,High,18
3343,Phr,US,Mid,8
3344,Phr,US,Low,1
3345,Nat,US,High,11
3346,Nat,US,Mid,6
3347,Nat,US,Low,3
3348,Nat,UK,High,19
3349,Nat,UK,Mid,5
3350,Nat,UK,Low,5
3351,Phr,UK,High,14
3352,Phr,UK,Mid,8
3353,Phr,UK,Low,4
3354,Nat,UK,High,10
3355,Nat,UK,Mid,6
3356,Nat,UK,Low,1
3357,Phr,US,High,14
3358,Phr,US,Mid,5
3359,Phr,US,Low,0
3360,Nat,US,High,17
3361,Nat,US,Mid,5
3362,Nat,US,Low,3
3363,Nat,US,High,21
3364,Nat,US,Mid,11
3365,Nat,US,Low,9
3366,Nat,CAN,High,29
3367,Nat,CAN,Mid,20
3368,Nat,CAN,Low,11
3369,Nat,UK,High,15
3370,Nat,UK,Mid,15
3371,Nat,UK,Low,8
3372,Sty,UK,High,12
3373,Sty,UK,Mid,7
3374,Sty,UK,Low,1
3375,Nat,UK,High,14
3376,Nat,UK,Mid,7
3377,Nat,UK,Low,4
3378,Phr,AUS,High,12
3379,Phr,AUS,Mid,0
3380,Phr,AUS,Low,2
3381,Nat,AUS,High,14
3382,Nat,AUS,Mid,1
3383,Nat,AUS,Low,1
3384,Nat,US,High,54
3385,Nat,US,Mid,11
3386,Nat,US,Low,8
3387,Nat,CAN,High,17
3388,Nat,CAN,Mid,10
3389,Nat,CAN,Low,11
3390,Phr,NZ,High,13
3391,Phr,NZ,Mid,9
3392,Phr,NZ,Low,3
3393,Nat,NZ,High,10
3394,Nat,NZ,Mid,7
3395,Nat,NZ,Low,2
3396,Phr,NZ,High,8
3397,Phr,NZ,Mid,7
3398,Phr,NZ,Low,2
3399,Nat,NZ,High,20
3400,Nat,NZ,Mid,9
3401,Nat,NZ,Low,5
3402,Nat,US,High,33
3403,Nat,US,Mid,20
3404,Nat,US,Low,5
3405,Par,CAN,High,16
3406,Par,CAN,Mid,9
3407,Par,CAN,Low,8
3408,Nat,CAN,High,23
3409,Nat,CAN,Mid,4
3410,Nat,CAN,Low,3
3411,Sty,US,High,14
3412,Sty,US,Mid,7
3413,Sty,US,Low,2
3414,Nat,US,High,8
3415,Nat,US,Mid,7
3416,Nat,US,Low,3
3417,Nat,CAN,High,20
3418,Nat,CAN,Mid,7
3419,Nat,CAN,Low,1
3420,Sty,CAN,High,4
3421,Sty,CAN,Mid,6
3422,Sty,CAN,Low,1
3423,Nat,CAN,High,8
3424,Nat,CAN,Mid,6
3425,Nat,CAN,Low,6
3426,Phr,NZ,High,15
3427,Phr,NZ,Mid,3
3428,Phr,NZ,Low,2
3429,Nat,NZ,High,15
3430,Nat,NZ,Mid,4
3431,Nat,NZ,Low,2
3435,Par,US,High,13
3436,Par,US,Mid,15
3437,Par,US,Low,8
3438,Nat,US,High,13
3439,Nat,US,Mid,4
3440,Nat,US,Low,2
3441,Phr,US,High,11
3442,Phr,US,Mid,9
3443,Phr,US,Low,8
3444,Nat,US,High,9
3445,Nat,US,Mid,3
3446,Nat,US,Low,5
3447,Phr,US,High,22
3448,Phr,US,Mid,9
3449,Phr,US,Low,5
3450,Nat,US,High,12
3451,Nat,US,Mid,16
3452,Nat,US,Low,6
3453,Par,UK,High,11
3454,Par,UK,Mid,8
3455,Par,UK,Low,3
3456,Nat,UK,High,10
3457,Nat,UK,Mid,5
3458,Nat,UK,Low,2
3459,Par,CAN,High,30
3460,Par,CAN,Mid,9
3461,Par,CAN,Low,2
3462,Nat,CAN,High,16
3463,Nat,CAN,Mid,12
3464,Nat,CAN,Low,4
3465,Phr,US,High,11
3466,Phr,US,Mid,7
3467,Phr,US,Low,6
3468,Nat,US,High,10
3469,Nat,US,Mid,4
3470,Nat,US,Low,1
3471,Nat,AUS,High,37
3472,Nat,AUS,Mid,4
3473,Nat,AUS,Low,3
3474,Nat,US,High,31
3475,Nat,US,Mid,21
3476,Nat,US,Low,7
3477,Phr,US,High,17
3478,Phr,US,Mid,1
3479,Phr,US,Low,3
3480,Nat,US,High,8
3481,Nat,US,Mid,3
3482,Nat,US,Low,4
3486,Par,AUS,High,15
3487,Par,AUS,Mid,6
3488,Par,AUS,Low,3
3489,Nat,AUS,High,12
3490,Nat,AUS,Mid,12
3491,Nat,AUS,Low,7
3492,Nat,UK,High,23
3493,Nat,UK,Mid,13
3494,Nat,UK,Low,7
3495,Nat,US,High,29
3496,Nat,US,Mid,7
3497,Nat,US,Low,6
3498,Par,CAN,High,18
3499,Par,CAN,Mid,11
3500,Par,CAN,Low,4
3501,Nat,CAN,High,10
3502,Nat,CAN,Mid,5
3503,Nat,CAN,Low,0
3504,Phr,UK,High,20
3505,Phr,UK,Mid,12
3506,Phr,UK,Low,1
3507,Nat,UK,High,15
3508,Nat,UK,Mid,7
3509,Nat,UK,Low,1
3510,Sty,AUS,High,12
3511,Sty,AUS,Mid,24
3512,Sty,AUS,Low,4
3513,Nat,AUS,High,11
3514,Nat,AUS,Mid,6
3515,Nat,AUS,Low,0
3516,Sty,UK,High,7
3517,Sty,UK,Mid,9
3518,Sty,UK,Low,4
3519,Nat,UK,High,14
3520,Nat,UK,Mid,8
3521,Nat,UK,Low,1
3522,Sty,AUS,High,10
3523,Sty,AUS,Mid,8
3524,Sty,AUS,Low,4
3525,Nat,AUS,High,6
3526,Nat,AUS,Mid,5
3527,Nat,AUS,Low,4
3528,Phr,UK,High,11
3529,Phr,UK,Mid,6
3530,Phr,UK,Low,5
3531,Nat,UK,High,12
3532,Nat,UK,Mid,9
3533,Nat,UK,Low,2
3534,Nat,UK,High,40
3535,Nat,UK,Mid,14
3536,Nat,UK,Low,9
3540,Par,UK,High,18
3541,Par,UK,Mid,12
3542,Par,UK,Low,3
3543,Nat,UK,High,11
3544,Nat,UK,Mid,4
3545,Nat,UK,Low,0
3546,Par,UK,High,11
3547,Par,UK,Mid,13
3548,Par,UK,Low,4
3549,Nat,UK,High,8
3550,Nat,UK,Mid,0
3551,Nat,UK,Low,2
3552,Phr,CAN,High,18
3553,Phr,CAN,Mid,9
3554,Phr,CAN,Low,4
3555,Nat,CAN,High,15
3556,Nat,CAN,Mid,9
3557,Nat,CAN,Low,2
3558,Nat,AUS,High,26
3559,Nat,AUS,Mid,18
3560,Nat,AUS,Low,8
3561,Sty,US,High,17
3562,Sty,US,Mid,6
3563,Sty,US,Low,4
3564,Nat,US,High,16
3565,Nat,US,Mid,4
3566,Nat,US,Low,2
3567,Sty,US,High,14
3568,Sty,US,Mid,4
3569,Sty,US,Low,2
3570,Nat,US,High,15
3571,Nat,US,Mid,6
3572,Nat,US,Low,3
3573,Phr,UK,High,16
3574,Phr,UK,Mid,5
3575,Phr,UK,Low,2
3576,Nat,UK,High,25
3577,Nat,UK,Mid,10
3578,Nat,UK,Low,3
3579,Sty,UK,High,8
3580,Sty,UK,Mid,3
3581,Sty,UK,Low,1
3582,Nat,UK,High,9
3583,Nat,UK,Mid,7
3584,Nat,UK,Low,0
3585,Par,US,High,15
3586,Par,US,Mid,6
3587,Par,US,Low,3
3588,Nat,US,High,18
3589,Nat,US,Mid,3
3590,Nat,US,Low,2
3594,Par,CAN,High,16
3595,Par,CAN,Mid,6
3596,Par,CAN,Low,4
3597,Nat,CAN,High,20
3598,Nat,CAN,Mid,10
3599,Nat,CAN,Low,0
3600,Sty,US,High,10
3601,Sty,US,Mid,6
3602,Sty,US,Low,2
3603,Nat,US,High,12
3604,Nat,US,Mid,6
3605,Nat,US,Low,5
3606,Nat,US,High,34
3607,Nat,US,Mid,17
3608,Nat,US,Low,5
3609,Par,US,High,9
3610,Par,US,Mid,8
3611,Par,US,Low,7
3612,Nat,US,High,14
3613,Nat,US,Mid,9
3614,Nat,US,Low,2
3618,Par,US,High,7
3619,Par,US,Mid,4
3620,Par,US,Low,4
3621,Nat,US,High,10
3622,Nat,US,Mid,2
3623,Nat,US,Low,3
3627,Par,UK,High,25
3628,Par,UK,Mid,18
3629,Par,UK,Low,6
3630,Nat,UK,High,25
3631,Nat,UK,Mid,9
3632,Nat,UK,Low,4
3633,Sty,CAN,High,26
3634,Sty,CAN,Mid,5
3635,Sty,CAN,Low,4
3636,Nat,CAN,High,12
3637,Nat,CAN,Mid,7
3638,Nat,CAN,Low,1
3639,Phr,CAN,High,15
3640,Phr,CAN,Mid,7
3641,Phr,CAN,Low,4
3642,Nat,CAN,High,12
3643,Nat,CAN,Mid,4
3644,Nat,CAN,Low,1
3645,Nat,CAN,High,22
3646,Nat,CAN,Mid,4
3647,Nat,CAN,Low,2
3648,Sty,CAN,High,12
3649,Sty,CAN,Mid,7
3650,Sty,CAN,Low,1
3651,Nat,CAN,High,5
3652,Nat,CAN,Mid,7
3653,Nat,CAN,Low,1
3654,Phr,CAN,High,13
3655,Phr,CAN,Mid,9
3656,Phr,CAN,Low,3
3657,Nat,CAN,High,14
3658,Nat,CAN,Mid,6
3659,Nat,CAN,Low,3
3663,Par,CAN,High,6
3664,Par,CAN,Mid,18
3665,Par,CAN,Low,6
3666,Nat,CAN,High,4
3667,Nat,CAN,Mid,4
3668,Nat,CAN,Low,4
3672,Par,CAN,High,18
3673,Par,CAN,Mid,6
3674,Par,CAN,Low,3
3675,Nat,CAN,High,21
3676,Nat,CAN,Mid,8
3677,Nat,CAN,Low,0
3678,Nat,CAN,High,26
3679,Nat,CAN,Mid,4
3680,Nat,CAN,Low,2
3681,Sty,NZ,High,15
3682,Sty,NZ,Mid,4
3683,Sty,NZ,Low,2
3684,Nat,NZ,High,16
3685,Nat,NZ,Mid,9
3686,Nat,NZ,Low,6
3690,Par,CAN,High,14
3691,Par,CAN,Mid,11
3692,Par,CAN,Low,5
3693,Nat,CAN,High,8
3694,Nat,CAN,Mid,4
3695,Nat,CAN,Low,3
3696,Nat,CAN,High,31
3697,Nat,CAN,Mid,20
3698,Nat,CAN,Low,8
3699,Nat,US,High,26
3700,Nat,US,Mid,16
3701,Nat,US,Low,4
3702,Phr,US,High,12
3703,Phr,US,Mid,3
3704,Phr,US,Low,4
3705,Nat,US,High,17
3706,Nat,US,Mid,11
3707,Nat,US,Low,5
3711,Par,CAN,High,15
3712,Par,CAN,Mid,19
3713,Par,CAN,Low,6
3714,Nat,CAN,High,16
3715,Nat,CAN,Mid,10
3716,Nat,CAN,Low,5
3717,Sty,CAN,High,9
3718,Sty,CAN,Mid,7
3719,Sty,CAN,Low,1
3720,Nat,CAN,High,15
3721,Nat,CAN,Mid,5
3722,Nat,CAN,Low,4
3723,Nat,UK,High,25
3724,Nat,UK,Mid,6
3725,Nat,UK,Low,6
3726,Nat,CAN,High,29
3727,Nat,CAN,Mid,8
3728,Nat,CAN,Low,8
3729,Phr,CAN,High,12
3730,Phr,CAN,Mid,10
3731,Phr,CAN,Low,1
3732,Nat,CAN,High,13
3733,Nat,CAN,Mid,13
3734,Nat,CAN,Low,1
3735,Sty,CAN,High,8
3736,Sty,CAN,Mid,7
3737,Sty,CAN,Low,2
3738,Nat,CAN,High,16
3739,Nat,CAN,Mid,10
3740,Nat,CAN,Low,5
3741,Sty,CAN,High,15
3742,Sty,CAN,Mid,3
3743,Sty,CAN,Low,8
3744,Nat,CAN,High,13
3745,Nat,CAN,Mid,2
3746,Nat,CAN,Low,8
3750,Par,CAN,High,12
3751,Par,CAN,Mid,13
3752,Par,CAN,Low,8
3753,Nat,CAN,High,25
3754,Nat,CAN,Mid,3
3755,Nat,CAN,Low,3
3756,Sty,US,High,3
3757,Sty,US,Mid,11
3758,Sty,US,Low,3
3759,Nat,US,High,15
3760,Nat,US,Mid,8
3761,Nat,US,Low,6
3765,Par,UK,High,23
3766,Par,UK,Mid,5
3767,Par,UK,Low,2
3768,Nat,UK,High,8
3769,Nat,UK,Mid,4
3770,Nat,UK,Low,1
3771,Phr,CAN,High,12
3772,Phr,CAN,Mid,8
3773,Phr,CAN,Low,1
3774,Nat,CAN,High,19
3775,Nat,CAN,Mid,7
3776,Nat,CAN,Low,4
3777,Par,CAN,High,13
3778,Par,CAN,Mid,9
3779,Par,CAN,Low,5
3780,Nat,CAN,High,9
3781,Nat,CAN,Mid,16
3782,Nat,CAN,Low,1
3783,Sty,CAN,High,8
3784,Sty,CAN,Mid,6
3785,Sty,CAN,Low,1
3786,Nat,CAN,High,11
3787,Nat,CAN,Mid,5
3788,Nat,CAN,Low,1
3789,Nat,UK,High,35
3790,Nat,UK,Mid,13
3791,Nat,UK,Low,12
3795,Par,CAN,High,21
3796,Par,CAN,Mid,22
3797,Par,CAN,Low,4
3798,Nat,CAN,High,17
3799,Nat,CAN,Mid,8
3800,Nat,CAN,Low,3
3801,Phr,CAN,High,18
3802,Phr,CAN,Mid,12
3803,Phr,CAN,Low,2
3804,Nat,CAN,High,20
3805,Nat,CAN,Mid,6
3806,Nat,CAN,Low,2
3807,Sty,US,High,18
3808,Sty,US,Mid,12
3809,Sty,US,Low,1
3810,Nat,US,High,19
3811,Nat,US,Mid,12
3812,Nat,US,Low,1
3816,Par,NZ,High,11
3817,Par,NZ,Mid,5
3818,Par,NZ,Low,2
3819,Nat,NZ,High,12
3820,Nat,NZ,Mid,9
3821,Nat,NZ,Low,4
3822,Phr,US,High,8
3823,Phr,US,Mid,1
3824,Phr,US,Low,0
3825,Nat,US,High,13
3826,Nat,US,Mid,5
3827,Nat,US,Low,3
3828,Phr,US,High,11
3829,Phr,US,Mid,5
3830,Phr,US,Low,4
3831,Nat,US,High,12
3832,Nat,US,Mid,6
3833,Nat,US,Low,4
3837,Par,UK,High,21
3838,Par,UK,Mid,9
3839,Par,UK,Low,1
3840,Nat,UK,High,10
3841,Nat,UK,Mid,9
3842,Nat,UK,Low,4
3843,Phr,US,High,14
3844,Phr,US,Mid,8
3845,Phr,US,Low,10
3846,Nat,US,High,23
3847,Nat,US,Mid,15
3848,Nat,US,Low,0
3849,Sty,US,High,20
3850,Sty,US,Mid,4
3851,Sty,US,Low,2
3852,Nat,US,High,10
3853,Nat,US,Mid,6
3854,Nat,US,Low,2
3855,Phr,US,High,8
3856,Phr,US,Mid,12
3857,Phr,US,Low,1
3858,Nat,US,High,10
3859,Nat,US,Mid,9
3860,Nat,US,Low,3
3861,Phr,US,High,11
3862,Phr,US,Mid,6
3863,Phr,US,Low,3
3864,Nat,US,High,11
3865,Nat,US,Mid,5
3866,Nat,US,Low,1
3867,Nat,UK,High,31
3868,Nat,UK,Mid,12
3869,Nat,UK,Low,13
3870,Nat,US,High,18
3871,Nat,US,Mid,5
3872,Nat,US,Low,9
3873,Phr,US,High,9
3874,Phr,US,Mid,16
3875,Phr,US,Low,6
3876,Nat,US,High,11
3877,Nat,US,Mid,4
3878,Nat,US,Low,2
3882,Par,US,High,11
3883,Par,US,Mid,4
3884,Par,US,Low,3
3885,Nat,US,High,5
3886,Nat,US,Mid,8
3887,Nat,US,Low,3
3888,Nat,US,High,29
3889,Nat,US,Mid,11
3890,Nat,US,Low,9
3891,Phr,US,High,16
3892,Phr,US,Mid,4
3893,Phr,US,Low,2
3894,Nat,US,High,12
3895,Nat,US,Mid,5
3896,Nat,US,Low,6
3897,Nat,US,High,37
3898,Nat,US,Mid,13
3899,Nat,US,Low,6
3900,Sty,US,High,6
3901,Sty,US,Mid,10
3902,Sty,US,Low,1
3903,Nat,US,High,8
3904,Nat,US,Mid,5
3905,Nat,US,Low,3
3906,Nat,UK,High,24
3907,Nat,UK,Mid,13
3908,Nat,UK,Low,3
3909,Nat,US,High,13
3910,Nat,US,Mid,5
3911,Nat,US,Low,1
3912,Sty,US,High,6
3913,Sty,US,Mid,9
3914,Sty,US,Low,2
3915,Nat,US,High,12
3916,Nat,US,Mid,12
3917,Nat,US,Low,3
3918,Par,UK,High,22
3919,Par,UK,Mid,8
3920,Par,UK,Low,1
3921,Nat,UK,High,17
3922,Nat,UK,Mid,12
3923,Nat,UK,Low,7
3927,Par,UK,High,12
3928,Par,UK,Mid,12
3929,Par,UK,Low,5
3930,Nat,UK,High,9
3931,Nat,UK,Mid,0
3932,Nat,UK,Low,3
3933,Nat,US,High,26
3934,Nat,US,Mid,10
3935,Nat,US,Low,6
3936,Nat,UK,High,17
3937,Nat,UK,Mid,8
3938,Nat,UK,Low,9
3939,Sty,US,High,7
3940,Sty,US,Mid,17
3941,Sty,US,Low,3
3942,Nat,US,High,15
3943,Nat,US,Mid,5
3944,Nat,US,Low,2
3948,Par,US,High,14
3949,Par,US,Mid,8
3950,Par,US,Low,2
3951,Nat,US,High,11
3952,Nat,US,Mid,4
3953,Nat,US,Low,2
3954,Sty,US,High,25
3955,Sty,US,Mid,12
3956,Sty,US,Low,6
3957,Nat,US,High,28
3958,Nat,US,Mid,18
3959,Nat,US,Low,15
3960,Sty,US,High,25
3961,Sty,US,Mid,10
3962,Sty,US,Low,5
3963,Nat,US,High,21
3964,Nat,US,Mid,15
3965,Nat,US,Low,4
3966,Sty,NZ,High,30
3967,Sty,NZ,Mid,4
3968,Sty,NZ,Low,11
3969,Nat,NZ,High,14
3970,Nat,NZ,Mid,0
3971,Nat,NZ,Low,4
3972,Nat,AUS,High,20
3973,Nat,AUS,Mid,10
3974,Nat,AUS,Low,7
3975,Sty,US,High,10
3976,Sty,US,Mid,4
3977,Sty,US,Low,2
3978,Nat,US,High,9
3979,Nat,US,Mid,3
3980,Nat,US,Low,2
3984,Par,US,High,19
3985,Par,US,Mid,17
3986,Par,US,Low,4
3987,Nat,US,High,13
3988,Nat,US,Mid,7
3989,Nat,US,Low,3
3990,Sty,US,High,11
3991,Sty,US,Mid,7
3992,Sty,US,Low,2
3993,Nat,US,High,12
3994,Nat,US,Mid,12
3995,Nat,US,Low,3
3996,Nat,AUS,High,26
3997,Nat,AUS,Mid,6
3998,Nat,AUS,Low,5
3999,Sty,AUS,High,22
4000,Sty,AUS,Mid,2
4001,Sty,AUS,Low,4
4002,Nat,AUS,High,13
4003,Nat,AUS,Mid,6
4004,Nat,AUS,Low,3
4005,Nat,AUS,High,30
4006,Nat,AUS,Mid,11
4007,Nat,AUS,Low,7
4011,Par,UK,High,22
4012,Par,UK,Mid,8
4013,Par,UK,Low,4
4014,Nat,UK,High,18
4015,Nat,UK,Mid,14
4016,Nat,UK,Low,9
4017,Nat,AUS,High,30
4018,Nat,AUS,Mid,22
4019,Nat,AUS,Low,11
4023,Par,CAN,High,9
4024,Par,CAN,Mid,14
4025,Par,CAN,Low,5
4026,Nat,CAN,High,15
4027,Nat,CAN,Mid,3
4028,Nat,CAN,Low,3
4029,Phr,CAN,High,9
4030,Phr,CAN,Mid,7
4031,Phr,CAN,Low,5
4032,Nat,CAN,High,18
4033,Nat,CAN,Mid,6
4034,Nat,CAN,Low,3
4038,Par,AUS,High,11
4039,Par,AUS,Mid,11
4040,Par,AUS,Low,11
4041,Nat,AUS,High,14
4042,Nat,AUS,Mid,9
4043,Nat,AUS,Low,1
4044,Phr,US,High,6
4045,Phr,US,Mid,7
4046,Phr,US,Low,3
4047,Nat,US,High,28
4048,Nat,US,Mid,6
4049,Nat,US,Low,7
4053,Par,US,High,11
4054,Par,US,Mid,6
4055,Par,US,Low,3
4056,Nat,US,High,9
4057,Nat,US,Mid,7
4058,Nat,US,Low,4
4062,Par,AUS,High,13
4063,Par,AUS,Mid,3
4064,Par,AUS,Low,6
4065,Nat,AUS,High,13
4066,Nat,AUS,Mid,4
4067,Nat,AUS,Low,3
4068,Sty,NZ,High,21
4069,Sty,NZ,Mid,6
4070,Sty,NZ,Low,7
4071,Nat,NZ,High,8
4072,Nat,NZ,Mid,5
4073,Nat,NZ,Low,0
4074,Phr,UK,High,13
4075,Phr,UK,Mid,9
4076,Phr,UK,Low,3
4077,Nat,UK,High,16
4078,Nat,UK,Mid,9
4079,Nat,UK,Low,4
4080,Sty,UK,High,5
4081,Sty,UK,Mid,4
4082,Sty,UK,Low,4
4083,Nat,UK,High,7
4084,Nat,UK,Mid,5
4085,Nat,UK,Low,1
4086,GPT,GPT,High,15
4087,GPT,GPT,Mid,6
4088,GPT,GPT,Low,4
4089,GPT,GPT,High,16
4090,GPT,GPT,Mid,8
4091,GPT,GPT,Low,5
4092,GPT,GPT,High,14
4093,GPT,GPT,Mid,9
4094,GPT,GPT,Low,3
4095,GPT,GPT,High,8
4096,GPT,GPT,Mid,7
4097,GPT,GPT,Low,4
4098,GPT,GPT,High,12
4099,GPT,GPT,Mid,11
4100,GPT,GPT,Low,4
4101,GPT,GPT,High,17
4102,GPT,GPT,Mid,6
4103,GPT,GPT,Low,5
4104,GPT,GPT,High,13
