,Condition,Variety,Type,Frequency
1000,Nat,AUS,Mid,7
1001,Nat,AUS,Low,9
1005,Par,US,High,16
1006,Par,US,Mid,4
1007,Par,US,Low,6
1008,Nat,US,High,14
1009,Nat,US,Mid,3
1010,Nat,US,Low,6
1014,Par,NZ,High,19
1015,Par,NZ,Mid,3
1016,Par,NZ,Low,3
1017,Nat,NZ,High,22
1018,Nat,NZ,Mid,5
1019,Nat,NZ,Low,0
1020,Nat,NZ,High,20
1021,Nat,NZ,Mid,18
1022,Nat,NZ,Low,10
1023,Sty,AUS,High,19
1024,Sty,AUS,Mid,5
1025,Sty,AUS,Low,7
1026,Nat,AUS,High,14
1027,Nat,AUS,Mid,7
1028,Nat,AUS,Low,5
1029,Sty,NZ,High,18
1030,Sty,NZ,Mid,2
1031,Sty,NZ,Low,11
1032,Nat,NZ,High,15
1033,Nat,NZ,Mid,7
1034,Nat,NZ,Low,2
1035,Phr,UK,High,13
1036,Phr,UK,Mid,5
1037,Phr,UK,Low,4
1038,Nat,UK,High,9
1039,Nat,UK,Mid,7
1040,Nat,UK,Low,2
1041,Sty,UK,High,14
1042,Sty,UK,Mid,6
1043,Sty,UK,Low,3
1044,Nat,UK,High,8
1045,Nat,UK,Mid,9
1046,Nat,UK,Low,4
1047,Sty,CAN,High,11
1048,Sty,CAN,Mid,4
1049,Sty,CAN,Low,8
1050,Nat,CAN,High,8
1051,Nat,CAN,Mid,3
1052,Nat,CAN,Low,4
1053,Phr,NZ,High,11
1054,Phr,NZ,Mid,2
1055,Phr,NZ,Low,5
1056,Nat,NZ,High,23
1057,Nat,NZ,Mid,4
1058,Nat,NZ,Low,3
1059,Phr,UK,High,11
1060,Phr,UK,Mid,12
1061,Phr,UK,Low,3
1062,Nat,UK,High,8
1063,Nat,UK,Mid,3
1064,Nat,UK,Low,2
1065,Phr,NZ,High,20
1066,Phr,NZ,Mid,6
